,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,2368,手 64.12,6490,5866,29,"0,000015%",,,15,撙,zǔn,zun,third,"economize; abide by, comply with",,哑
,2369,手 64.12,0,4106,,"0,000000%",,,9,挦,xián,xian,second,"pull out, pluck; take hold of",,炭
,2370,手 64.12,0,7637,,"0,000000%",,,14,撖,hàn,han,fourth,,,坟
,2371,手 64.13,1173,3317,23193,"0,011986%",5,4,16,操,cāo,cao,first,"conduct, run, control, manage",,眨
,2372,手 64.13,2377,3318,4372,"0,002259%",6,7–9,16,擅,shàn,shan,fourth,monopolize; claim; arbitrarily; to dare,,搏
,2373,手 64.13,2850,3200,2328,"0,001203%",,,15,擒,qín,qin,second,"catch, capture, seize, arrest",,咳
,2374,手 64.13,2987,3315,1922,"0,000993%",6,7–9,16,撼,hàn,han,fourth,"move, shake; (Cant.) to fight",,拢
,2375,手 64.13,3052,3324,1768,"0,000914%",6,7–9,16,擎,qíng,qing,second,"lift up, hold up, support",,舅
,2376,手 64.13,3685,3316,819,"0,000423%",,,16,擂,léi,lei,second,"rub, grind; grind with a mortar and pestle; triturate",,昧
,2377,手 64.13,3870,6042,652,"0,000337%",,,16,擞,sǒu,sou,third,"shake, tremble, quake; flutter",,擅
,2378,手 64.13,5448,6303,120,"0,000062%",,,17,擘,bāi,bai,first,"thumb; break, tear open, rip",,爽
,2379,手 64.13,5469,6039,117,"0,000060%",,,16,擀,gǎn,gan,third,roll flat,,咖
,2380,手 64.13,6899,7836,14,"0,000007%",,,16,擐,huàn,huan,fourth,to put on,,搁
,2381,手 64.13,8302,,2,"0,000001%",,,16,擗,pǐ,pi,third,to beat the breast,,禄
,2382,手 64.14,1761,3389,9542,"0,004931%",4,4,17,擦,cā,ca,first,"wipe, scrub, rub, scour; brush",,雌
,2383,手 64.14,4477,6204,336,"0,000174%",,,17,擢,zhuó,zhuo,second,"pull up, draw up; select",,哨
,2384,手 64.14,5361,6200,129,"0,000067%",,,17,擤,xǐng,xing,third,to blow the nose with fingers,,巩
,2385,手 64.15,2439,3456,3998,"0,002066%",6,7–9,19,攀,pān,pan,first,climb; pull; hang on to,,绢
,2386,手 64.15,0,7922,,"0,000000%",,,17,擿,tī,ti,first,"to select, to pick out from, to discard",,螺
,2387,手 64.16,3548,6368,977,"0,000505%",6,7–9,19,攒,zǎn,zan,third,"save, hoard",,裹
,2388,手 64.16,6726,6367,19,"0,000010%",,,19,攉,huō,huo,first,to beckon; to urge,,昔
,2389,手 64.17,3404,6421,1138,"0,000588%",,7–9,20,攘,rǎng,rang,third,"seize, take by force; repel",,轩
,2390,手 64.18,9064,,1,"0,000001%",,,21,㩳,sǒng,song,third,"to hold; to grasp, to detain, to uphold, to push, to stand upright; expel, to shirk, to raise up",,谬
,2391,手 64.2,223,0196,186146,"0,096197%",1,1,5,打,dǎ,da,third,"strike, hit, beat; fight; attack",,谍
,2392,手 64.2,1509,0199,13748,"0,007105%",6,6,5,扑,pū,pu,first,"pound, beat, strike; attack",,龟
,2393,手 64.2,1905,0203,8045,"0,004158%",4,5,5,扔,rēng,reng,first,"throw, hurl; throw away, cast",,媳
,2394,手 64.2,3121,0201,1623,"0,000839%",6,7–9,5,扒,bā,ba,first,scratch; dig up; crawl; crouch,,姜
,2395,手 64.20,3692,6479,810,"0,000419%",,,23,攫,jué,jue,second,"snatch away, seize; catch with",,瞎
,2396,手 64.20,3827,6480,683,"0,000353%",,,23,攥,zuàn,zuan,fourth,(coll.) hold; grip; grasp,,冤
,2397,手 64.22,6679,6495,21,"0,000011%",,,25,攮,nǎng,nang,third,to fend off; to stab,,鸦
,2398,手 64.3,763,0363,47543,"0,024570%",5,5,6,执,zhí,zhi,second,hold in hand; keep; carry out,,蓬
,2399,手 64.3,799,0359,44052,"0,022765%",5,5,6,托,tuō,tuo,first,"to hold up with palm; to support, rely on",,巷
,2400,手 64.3,1051,0364,28331,"0,014641%",5,4,6,扩,kuò,kuo,fourth,"expand, enlarge, stretch",,琳
,2401,手 64.3,1084,0368,26509,"0,013699%",4,4,6,扬,yáng,yang,second,"scatter, spread; praise",,栽
,2402,手 64.3,1435,0365,15140,"0,007824%",3,4,6,扫,sǎo,sao,third,"sweep, clear away; exterminate",,沾
,2403,手 64.3,1625,0357,11505,"0,005946%",6,6,6,扣,kòu,kou,fourth,"knock, strike, rap, tap; button",,诈
,2404,手 64.3,2989,0354,1921,"0,000993%",6,7–9,6,扛,káng,kang,second,carry on shoulders; lift,,斋
,2405,手 64.3,4416,3575,360,"0,000186%",,,6,扪,mén,men,second,"stoke, pat, feel by hand, grope",,瞒
,2406,手 64.3,5757,3571,84,"0,000043%",,,6,扦,qiān,qian,first,"probe, poke, prick, pierce",,彪
,2407,手 64.3,0,6522,,"0,000000%",,,6,扞,gǎn,gan,third,"ward off, withstand, resist",,厄
,2408,手 64.4,110,0655,340730,"0,176084%",3,3,7,把,bǎ,ba,third,"hold, take; guard; regard as",,咨
,2409,手 64.4,234,0656,182411,"0,094267%",2,2,7,报,bào,bao,fourth,"report, tell, announce",,纺
,2410,手 64.4,422,0615,99790,"0,051570%",4,3,7,技,jì,ji,fourth,"skill, ability, talent, ingenuity",,罐
,2411,手 64.4,466,0621,88247,"0,045605%",2,1,7,找,zhǎo,zhao,third,"search, seek, look for; find",,桶
,2412,手 64.4,516,0643,79708,"0,041192%",5,4,7,投,tóu,tou,second,"throw, cast, fling, pitch; jump",,壤
,2413,手 64.4,529,0649,76993,"0,039789%",3,2,7,护,hù,hu,fourth,"protect, guard, defend, shelter",,糕
,2414,手 64.4,569,0622,70580,"0,036475%",4,3,7,批,pī,pi,first,"comment, criticize; wholesale",,颂
,2415,手 64.4,639,1315,62285,"0,032188%",5,4,8,承,chéng,cheng,second,"inherit, receive; succeed",,膨
,2416,手 64.4,766,0646,47342,"0,024466%",6,6,7,抗,kàng,kang,fourth,"resist, oppose, defy, reject",,谐
,2417,手 64.4,992,0633,31675,"0,016369%",5,3,7,抓,zhuā,zhua,first,"scratch; clutch, seize, grab",,垒
,2418,手 64.4,1131,0632,24737,"0,012784%",4,4,7,折,zhé,zhe,second,"break off, snap; bend",,咕
,2419,手 64.4,1412,0637,15596,"0,008060%",5,5,7,抢,qiǎng,qiang,third,"plunder, rob, take by force",,隙
,2420,手 64.4,1483,0618,14252,"0,007365%",4,5,7,扰,rǎo,rao,third,"disturb, annoy, agitate",,辣
,2421,手 64.4,1612,0612,11659,"0,006025%",5,5,7,扶,fú,fu,second,"support, help; protect; hold on",,绑
,2422,手 64.4,1692,0642,10477,"0,005414%",6,7–9,7,抛,pāo,pao,first,throw (away),,宠
,2423,手 64.4,1720,0613,10100,"0,005220%",6,7–9,7,抚,fǔ,fu,third,"pat, console, comfort; pacify",,嘿
,2424,手 64.4,1748,0641,9719,"0,005023%",6,7–9,7,抑,yì,yi,fourth,"press down, repress; curb, hinder",,兑
,2425,手 64.4,1757,0648,9584,"0,004953%",5,7–9,7,抖,dǒu,dou,third,"tremble, shake, rouse; give shake",,霉
,2426,手 64.4,1805,0653,9054,"0,004679%",6,6,7,扭,niǔ,niu,third,"turn, twist, wrench; seize, grasp",,挫
,2427,手 64.4,1974,0636,7372,"0,003810%",4,5,7,扮,bàn,ban,fourth,dress up; dress up as,,稽
,2428,手 64.4,2084,0624,6325,"0,003269%",6,7–9,7,扯,chě,che,third,"rip up, tear down; raise; haul",,辐
,2429,手 64.4,2213,0626,5433,"0,002808%",5,4,7,抄,chāo,chao,first,"copy, confiscate, seize",,乞
,2430,手 64.4,2931,0619,2087,"0,001079%",,,7,扼,è,e,fourth,"grasp, clutch; choke, strangle",,纱
,2431,手 64.4,3071,0659,1724,"0,000891%",6,7–9,7,抒,shū,shu,first,express; eliminate; relieve,,裙
,2432,手 64.4,3169,0634,1540,"0,000796%",,7–9,7,扳,bān,ban,first,pull; drag; right itself,,嘻
,2433,手 64.4,3575,3657,944,"0,000488%",,,7,抉,jué,jue,second,"choose, select; gouge, pluck out",,哇
,2434,手 64.4,3869,0635,652,"0,000337%",,7–9,7,抡,lūn,lun,first,"swing, brandish, flourish",,绣
,2435,手 64.4,4103,0617,520,"0,000269%",,7–9,7,抠,kōu,kou,first,"raise, lift up; tight-fisted",,杖
,2436,手 64.4,4659,3650,265,"0,000137%",,,7,抟,tuán,tuan,second,roll around with hand; model,,塘
,2437,手 64.4,0,3651,,"0,000000%",,,7,抔,póu,pou,second,take or hold up in both hands,,衍
,2438,手 64.4,0,3656,,"0,000000%",,,7,抃,biàn,bian,fourth,to clap hands; to cheer,,轴
,2439,手 64.4,0,3658,,"0,000000%",,,7,㧐,sǒng,song,third,"(simplified form of 㩳) to hold; to grasp, to detain, to uphold, to push, to stand upright",,攀
,2440,手 64.4,0,6563,,"0,000000%",,,7,扽,dèn,den,fourth,"to move, to shake",,膊
,2441,手 64.4,0,6566,,"0,000000%",,,7,扺,zhǐ,zhi,third,,,譬
,2442,手 64.4,0,6567,,"0,000000%",,,7,㧑,huī,hui,first,"(a simplified form撝) to wave, to assist",,斌
,2443,手 64.5,324,0981,134051,"0,069276%",4,2,8,拉,lā,la,first,"pull, drag; seize, hold; lengthen",,祈
,2444,手 64.5,720,0963,51792,"0,026765%",3,4,8,担,dān,dan,first,"carry, bear, undertake",,踢
,2445,手 64.5,941,0988,34625,"0,017894%",4,4,8,招,zhāo,zhao,first,"beckon, summon; recruit, levy",,肆
,2446,手 64.5,961,0992,33615,"0,017372%",3,4,8,择,zé,ze,second,"select, choose, pick out",,坎
,2447,手 64.5,1059,0974,27833,"0,014384%",5,5,8,拥,yōng,yong,first,"embrace, hug, squeeze; crowd",,轿
,2448,手 64.5,1119,0975,25228,"0,013037%",6,6,8,抵,dǐ,di,third,"resist, oppose; deny; off-set",,棚
,2449,手 64.5,1122,0978,25069,"0,012955%",4,4,8,抱,bào,bao,fourth,"embrace, hold in arms, enfold",,泣
,2450,手 64.5,1167,0970,23483,"0,012136%",5,3,8,拍,pāi,pai,first,"clap, tap, beat; beat or rhythm",,屡
,2451,手 64.5,1178,0966,22937,"0,011854%",4,4,8,抽,chōu,chou,first,"draw out, pull out; sprout",,躁
,2452,手 64.5,1218,1538,20978,"0,010841%",4,5,9,拜,bài,bai,fourth,"do obeisance, bow, kowtow",,邱
,2453,手 64.5,1331,0620,17892,"0,009246%",4,5,7,拒,jù,ju,fourth,"ward off with hand, defend",,凰
,2454,手 64.5,1386,0993,16315,"0,008431%",4,5,8,抬,tái,tai,second,"lift, carry",,溢
,2455,手 64.5,1492,0968,13973,"0,007221%",6,6,8,拖,tuō,tuo,first,"drag, tow, haul; delay, prolong",,椎
,2456,手 64.5,1502,0959,13865,"0,007165%",6,5,8,拔,bá,ba,second,"uproot, pull out",,砸
,2457,手 64.5,1541,0657,12885,"0,006659%",6,7–9,7,拟,nǐ,ni,third,"draft; intend, plan, propose",,趟
,2458,手 64.5,1775,0965,9401,"0,004858%",5,5,8,押,yā,ya,first,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard",,帘
,2459,手 64.5,1807,0991,9047,"0,004675%",6,6,8,拨,bō,bo,first,move; dispel; distribute,,帆
,2460,手 64.5,1996,0982,7091,"0,003665%",5,7–9,8,拦,lán,lan,second,"obstruct, impede, bar, hinder",,栖
,2461,手 64.5,2032,0990,6790,"0,003509%",5,5,8,披,pī,pi,first,wear; split; crack,,窜
,2462,手 64.5,2076,0972,6412,"0,003314%",5,5,8,拆,chāi,chai,first,"to break up, split apart, rip open; to destroy",,丸
,2463,手 64.5,2087,0953,6299,"0,003255%",6,7–9,8,抹,mǒ,mo,third,"smear, apply, wipe off, erase",,斩
,2464,手 64.5,2098,0976,6224,"0,003216%",6,7–9,8,拘,jū,ju,first,"restrain, seize, detain",,堤
,2465,手 64.5,2232,0967,5282,"0,002730%",5,6,8,拐,guǎi,guai,third,"kidnap, abduct; turn",,塌
,2466,手 64.5,2238,0957,5256,"0,002716%",6,7–9,8,拓,tà,ta,fourth,expand; open up; support or push,,贩
,2467,手 64.5,2374,0958,4390,"0,002269%",6,7–9,8,拢,lǒng,long,third,"collect, bring together",,厢
,2468,手 64.5,2623,0986,3135,"0,001620%",,,8,拂,fú,fu,second,"shake off, brush away; dust",,掀
,2469,手 64.5,2709,0987,2833,"0,001464%",6,7–9,8,拙,zhuō,zhuo,first,"stupid, clumsy, crude; convention",,喀
,2470,手 64.5,2965,0961,1981,"0,001024%",6,7–9,8,拣,jiǎn,jian,third,choose; select; pick up; gather,,乖
,2471,手 64.5,2983,,1929,"0,000997%",,,8,拚,pàn,pan,fourth,"risk, disregard; go all out for",,谜
,2472,手 64.5,3031,0994,1839,"0,000950%",,,8,拇,mǔ,mu,third,thumb; big toe,,捏
,2473,手 64.5,3178,0985,1529,"0,000790%",6,7–9,8,拧,níng,ning,second,"pinch; twist, wring; determined",,阎
,2474,手 64.5,3380,0973,1176,"0,000608%",,7–9,8,拎,līn,lin,first,to haul; to lift; to take,,滨
,2475,手 64.5,3397,3837,1146,"0,000592%",,7–9,8,抨,pēng,peng,first,"impeach, censure; attack",,虏
,2476,手 64.5,3570,0984,950,"0,000491%",6,7–9,8,拌,bàn,ban,fourth,mix,,匙
,2477,手 64.5,3616,3840,898,"0,000464%",,,8,拈,niān,nian,first,pick up with fingers; draw lots,,芦
,2478,手 64.5,3629,0995,881,"0,000455%",,,8,拗,ǎo,ao,third,"to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate",,苹
,2479,手 64.5,3729,3851,771,"0,000398%",,,8,抿,mǐn,min,third,pucker up lips in smile; press,,卸
,2480,手 64.5,4240,0979,444,"0,000229%",6,7–9,8,拄,zhǔ,zhu,third,lean on; post; prod; ridicule,,沼
,2481,手 64.5,5131,3842,161,"0,000083%",,,8,抻,chēn,chen,first,pull,,钥
,2482,手 64.5,5779,3845,82,"0,000042%",,,8,拊,fǔ,fu,third,slap; pat; tap; handle of a vessel,,株
,2483,手 64.5,7963,3848,3,"0,000002%",,,8,㧟,kuǎi,kuai,third,"(simplified form of擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm",,祷
,2484,手 64.5,0,3838,,"0,000000%",,,8,拤,qiá,qia,second,,,剖
,2485,手 64.5,0,3844,,"0,000000%",,,8,拃,zhǎ,zha,third,"grope, press, span",,熙
,2486,手 64.6,261,1389,166865,"0,086233%",4,3,9,指,zhǐ,zhi,third,"finger, toe; point, indicate",,哗
,2487,手 64.6,357,1367,119990,"0,062009%",4,3,9,持,chí,chi,second,"sustain, support; hold, grasp",,劈
,2488,手 64.6,573,1395,69984,"0,036167%",4,3,9,按,àn,an,fourth,"put hand on, press down with hand",,怯
,2489,手 64.6,645,1983,61798,"0,031936%",3,1,10,拿,ná,na,second,"take, hold, grasp; bring; with",,棠
,2490,手 64.6,742,1396,49702,"0,025685%",5,4,9,挥,huī,hui,first,direct; wipe away; squander,,胳
,2491,手 64.6,850,1383,40519,"0,020940%",5,4,9,括,kuò,kuo,fourth,"include, embrace, enclose",,桩
,2492,手 64.6,1232,1365,20706,"0,010701%",4,3,9,挂,guà,gua,fourth,"hang, suspend; suspense",,瑰
,2493,手 64.6,1309,1387,18417,"0,009518%",5,4,9,挑,tiāo,tiao,first,a load carried on the shoulders; to carry,,娱
,2494,手 64.6,1661,1392,10920,"0,005643%",5,5,9,挤,jǐ,ji,third,"crowd, squeeze, push against",,娶
,2495,手 64.6,1784,2052,9290,"0,004801%",5,7–9,10,拳,quán,quan,second,fist; various forms of boxing,,沫
,2496,手 64.6,1820,1393,8842,"0,004569%",5,5,9,拼,pīn,pin,first,"join together, link, incorporate",,嗓
,2497,手 64.6,1860,1394,8449,"0,004366%",6,6,9,挖,wā,wa,first,"dig, dig out, gouge out, scoop",,蹲
,2498,手 64.6,1875,1391,8297,"0,004288%",5,5,9,挣,zhēng,zheng,first,"strive, endeavor, struggle",,焚
,2499,手 64.6,1933,1379,7851,"0,004057%",5,5,9,挡,dǎng,dang,third,"obstruct, impede; stop; resist",,淘
,2500,手 64.6,1961,1386,7497,"0,003874%",4,5,9,拾,shí,shi,second,"pick up, collect, tidy up; accounting form of the numeral ten",,嫩
,2501,手 64.6,2573,1369,3339,"0,001726%",,7–9,9,拱,gǒng,gong,third,"fold hands on breast; bow, salute",,韵
,2502,手 64.6,2754,1398,2650,"0,001369%",,7–9,9,拯,zhěng,zheng,third,"help, save, aid; lift, raise",,衬
,2503,手 64.6,2794,1375,2523,"0,001304%",6,7–9,9,挠,náo,nao,second,"scratch; disturb, bother; submit",,匈
,2504,手 64.6,2816,1374,2438,"0,001260%",,7–9,9,挟,xié,xie,second,clasp under arm; hold to bosom,,钧
,2505,手 64.6,3012,1808,1873,"0,000968%",6,7–9,10,挚,zhì,zhi,fourth,"sincere, warm, cordial; surname",,竖
,2506,手 64.6,3170,1385,1537,"0,000794%",,7–9,9,拴,shuān,shuan,first,"bind with rope, fasten",,峻
,2507,手 64.6,3230,1368,1418,"0,000733%",,,9,拷,kǎo,kao,third,torture and interrogate; hit,,豹
,2508,手 64.6,3248,1380,1396,"0,000721%",6,7–9,9,拽,zhuāi,zhuai,first,"drag, tow; throw; twist",,捞
,2509,手 64.6,3337,1364,1257,"0,000650%",,,9,拭,shì,shi,fourth,wipe away stains with cloth,,菊
,2510,手 64.6,3350,4612,1230,"0,000636%",,,10,挛,luán,luan,second,tangled; entwined; crooked,,鄙
,2511,手 64.6,3710,4095,792,"0,000409%",,,9,挝,wō,wo,first,to beat; to strike,,魄
,2512,手 64.6,4005,1372,574,"0,000297%",6,7–9,9,挎,kuà,kua,fourth,carry,,兜
,2513,手 64.6,4510,4097,320,"0,000165%",,,9,挞,tà,ta,fourth,"flog, whip; chastise",,哄
,2514,手 64.6,4536,4093,311,"0,000161%",,,9,拮,jié,jie,second,"laboring hard, occupied; pursue",,颖
,2515,手 64.6,5220,4400,149,"0,000077%",,,10,挈,qiè,qie,fourth,"assist, help, lead by hand",,镑
,2516,手 64.6,6608,6782,24,"0,000012%",,,9,拶,zā,za,first,"press, squeeze hard; force",,屑
,2517,手 64.6,7436,,6,"0,000003%",,,9,挢,jiǎo,jiao,third,correct,,蚁
,2518,手 64.6,0,6779,,"0,000000%",,,9,挓,zhā,zha,first,to open out; to expand,,壶
,2519,手 64.7,824,1806,42292,"0,021856%",3,2,10,换,huàn,huan,fourth,change,,怡
,2520,手 64.7,911,1798,36444,"0,018834%",5,5,10,损,sǔn,sun,third,diminish; impair; injure,,渗
,2521,手 64.7,1140,1786,24469,"0,012645%",5,5,10,振,zhèn,zhen,fourth,"raise, excite, arouse action",,秃
,2522,手 64.7,1312,1783,18236,"0,009424%",6,6,10,捕,bǔ,bu,third,"arrest, catch, seize",,迦
,2523,手 64.7,1467,1382,14615,"0,007553%",4,2,9,挺,tǐng,ting,third,"to stand upright, straighten; rigid",,旱
,2524,手 64.7,1822,1795,8838,"0,004567%",6,6,10,捉,zhuō,zhuo,first,"grasp, clutch; catch, seize",,哟
,2525,手 64.7,2012,1815,6930,"0,003581%",6,6,10,挨,āi,ai,first,"near, close by, next to, towards, against; to wait; to lean on",,咸
,2526,手 64.7,2204,1397,5500,"0,002842%",6,7–9,9,挪,nuó,nuo,second,"move, shift on one side",,焉
,2527,手 64.7,2222,1807,5389,"0,002785%",6,7–9,10,挽,wǎn,wan,third,"pull; pull back, draw back",,谴
,2528,手 64.7,2235,1797,5273,"0,002725%",5,6,10,捐,juān,juan,first,"contribute; give up, renounce",,宛
,2529,手 64.7,2426,1805,4089,"0,002113%",6,7–9,10,挫,cuò,cuo,fourth,push down; chop down; grind,,稻
,2530,手 64.7,2472,1793,3824,"0,001976%",6,7–9,10,捏,niē,nie,first,pick with fingers; knead; mold,,铸
,2531,手 64.7,2508,1781,3681,"0,001902%",6,7–9,10,捞,lāo,lao,first,"scoop out of water; dredge, fish",,锻
,2532,手 64.7,2640,1796,3079,"0,001591%",6,7–9,10,捆,kǔn,kun,third,"tie up; bind, truss up; bundle",,伽
,2533,手 64.7,2723,1811,2753,"0,001423%",6,7–9,10,捣,dǎo,dao,third,"hull; thresh; beat, attack",,詹
,2534,手 64.7,2753,1804,2653,"0,001371%",5,6,10,捡,jiǎn,jian,third,to pick up,,毙
,2535,手 64.7,3092,1785,1687,"0,000872%",,7–9,10,捂,wǔ,wu,third,resist,,恍
,2536,手 64.7,3255,1792,1385,"0,000716%",6,7–9,10,捍,hàn,han,fourth,"ward off, guard against, defend",,贬
,2537,手 64.7,3361,1813,1211,"0,000626%",,7–9,10,捅,tǒng,tong,third,jab,,烛
,2538,手 64.7,3603,1791,913,"0,000472%",6,7–9,10,捎,shāo,shao,first,to select; to take; to carry,,骇
,2539,手 64.7,4049,4422,552,"0,000285%",,,10,捋,lǚ,lü,third,to pluck; to gather in the fingers; to rub; to scrape off,,芯
,2540,手 64.7,5230,4971,147,"0,000076%",,,11,挲,sā,sa,first,to feel or fondle with the fingers,,汁
,2541,手 64.7,5461,4721,118,"0,000061%",,,11,掴,guāi,guai,first,to slap,,桓
,2542,手 64.7,5580,1800,104,"0,000054%",,,10,捌,bā,ba,first,"break open, split open; an accounting version of the numeral eight",,坊
,2543,手 64.7,5899,4418,71,"0,000037%",,,10,挹,yì,yi,fourth,to bale out; to decant liquids,,驴
,2544,手 64.7,7040,4425,11,"0,000006%",,,10,捃,jùn,jun,fourth,gather; to sort,,朽
,2545,手 64.8,247,2185,175473,"0,090682%",3,2,11,接,jiē,jie,first,receive; continue; catch; connect,,靖
,2546,手 64.8,313,2189,137990,"0,071311%",3,3,11,据,jù,ju,fourth,"to occupy, take possession of; a base, position",,佣
,2547,手 64.8,505,2174,80933,"0,041825%",4,2,11,推,tuī,tui,first,"push, expel; push forward",,汝
,2548,手 64.8,682,2168,55938,"0,028908%",4,2,11,排,pái,pai,second,"row, rank, line",,碌
,2549,手 64.8,780,2187,45664,"0,023598%",5,5,11,控,kòng,kong,fourth,"accuse, charge; control",,迄
,2550,手 64.8,849,2170,40541,"0,020951%",4,2,11,掉,diào,diao,fourth,"turn, move; shake, wag; drop down",,冀
,2551,手 64.8,890,2610,37729,"0,019498%",5,5,12,掌,zhǎng,zhang,third,"palm of hand, sole of foot, paw",,荆
,2552,手 64.8,917,2188,36230,"0,018723%",6,6,11,探,tàn,tan,fourth,"find, locate; search, grope for",,崔
,2553,手 64.8,968,2177,33017,"0,017063%",4,4,11,授,shòu,shou,fourth,"give to, transmit; confer",,雁
,2554,手 64.8,1148,2162,24172,"0,012492%",5,4,11,措,cuò,cuo,fourth,"place; collect, arrange; employ",,绅
,2555,手 64.8,1514,2166,13680,"0,007070%",6,7–9,11,掩,yǎn,yan,third,"to cover (with the hand); shut, conceal; ambush",,珊
,2556,手 64.8,1789,2167,9225,"0,004767%",6,7–9,11,捷,jié,jie,second,"win, victory, triumph",,榜
,2557,手 64.8,1868,2182,8343,"0,004312%",6,7–9,11,掠,lüè,lüe,fourth,"rob, ransack, plunder; pass by",,诵
,2558,手 64.8,2212,2190,5436,"0,002809%",6,7–9,11,掘,jué,jue,second,"dig, excavate; excavate cave",,傍
,2559,手 64.8,2218,2180,5416,"0,002799%",6,6,11,掏,tāo,tao,first,take out; pull out; clean out,,彦
,2560,手 64.8,2353,2160,4533,"0,002343%",6,7–9,11,捧,pěng,peng,third,hold up in two hands,,醇
,2561,手 64.8,2468,2176,3831,"0,001980%",6,7–9,11,掀,xiān,xian,first,"lift, raise; stir",,笛
,2562,手 64.8,2614,2186,3170,"0,001638%",6,,11,掷,zhì,zhi,fourth,"throw, hurl, cast, fling",,禽
,2563,手 64.8,3308,2191,1303,"0,000673%",,7–9,11,掺,càn,can,fourth,"mix, blend, adulterate",,勿
,2564,手 64.8,3468,4720,1067,"0,000551%",,,11,掳,lǔ,lu,third,"capture, seize",,娟
,2565,手 64.8,3471,2178,1066,"0,000551%",,,11,捻,niǎn,nian,third,to twist or nip with the fingers,,瞄
,2566,手 64.8,3478,2171,1061,"0,000548%",,7–9,11,捶,chuí,chui,second,"strike with stick, lash, beat",,幢
,2567,手 64.8,3494,2181,1042,"0,000538%",6,7–9,11,掐,qiā,qia,first,hold; gather with hand; choke,,寇
,2568,手 64.8,3596,5191,922,"0,000476%",,,12,掣,chè,che,fourth,"drag, pull; hinder by pulling back",,睹
,2569,手 64.8,3841,2165,670,"0,000346%",,,11,捺,nà,na,fourth,to press down heavily with the fingers,,贿
,2570,手 64.8,3863,4733,656,"0,000339%",,,11,掖,yē,ye,first,"support with the arms; stick in, tuck in; fold up",,踩
,2571,手 64.8,4020,2183,567,"0,000293%",,,11,掂,diān,dian,first,"heft, hold or weigh in palm",,霆
,2572,手 64.8,4253,2668,434,"0,000224%",6,7–9,12,掰,bāi,bai,first,"(Cant.) to tear, to rip",,呜
,2573,手 64.8,4362,,385,"0,000199%",,,11,捱,ái,ai,second,"put off, procrastinate; endure",,拱
,2574,手 64.8,4398,4731,365,"0,000189%",,,11,掬,jū,ju,first,to grasp or hold with both hands,,妃
,2575,手 64.8,4402,4737,363,"0,000188%",,,11,掸,dǎn,dan,third,to dust; a duster,,蔑
,2576,手 64.8,4486,4743,331,"0,000171%",,,11,掇,duō,duo,first,"collect, gather up, pick up",,谕
,2577,手 64.8,4995,4739,183,"0,000095%",,,11,掮,qián,qian,second,to bear on the shoulders,,缚
,2578,手 64.8,5206,4744,150,"0,000078%",,,11,掼,guàn,guan,fourth,"throw ground; know, be familiar",,诡
,2579,手 64.8,5827,4738,77,"0,000040%",,,11,捩,liè,lie,fourth,"twist with hands; snap, tear",,篷
,2580,手 64.8,5900,4726,71,"0,000037%",,,11,捭,bǎi,bai,third,to open; to spread out,,淹
,2581,手 64.8,6609,4735,24,"0,000012%",,,11,掊,póu,pou,second,to extract; injure,,腕
,2582,手 64.8,7551,7110,5,"0,000003%",,,11,掎,jǐ,ji,third,"drag aside, pull; drag one foot",,煮
,2583,手 64.8,7987,7106,3,"0,000002%",,,11,掭,tiàn,tian,fourth,to manipulate; a pricker for a lamp-wick,,倩
,2584,手 64.8,0,4719,,"0,000000%",,,11,捯,dáo,dao,second,,,卒
,2585,手 64.8,0,4734,,"0,000000%",,,11,捽,zuó,zuo,second,"clutch, grasp; pull up; contradict",,勘
,2586,手 64.8,0,7115,,"0,000000%",,,11,掞,shàn,shan,fourth,"easy, smooth; quiet; suave",,馨
,2587,手 64.9,196,2520,205159,"0,106023%",3,2,12,提,tí,ti,second,hold in hand; lift in hand,,逗
,2588,手 64.9,1032,2538,29418,"0,015203%",5,3,12,握,wò,wo,fourth,"grasp, hold fast, take by hand",,甸
,2589,手 64.9,1197,2530,22180,"0,011462%",6,6,12,援,yuán,yuan,second,"aid, assist; lead; cite",,贱
,2590,手 64.9,1246,2163,20247,"0,010463%",5,4,11,描,miáo,miao,second,"copy, trace, sketch; depict",,炒
,2591,手 64.9,1495,2526,13938,"0,007203%",5,5,12,插,chā,cha,first,"insert, stick into; plant",,灿
,2592,手 64.9,1564,2528,12537,"0,006479%",5,5,12,搜,sōu,sou,first,"search, seek; investigate",,敞
,2593,手 64.9,1666,2522,10892,"0,005629%",6,6,12,揭,jiē,jie,first,"raise, lift up; surname",,蜡
,2594,手 64.9,2380,2533,4359,"0,002253%",6,7–9,12,搁,gē,ge,first,"place, put, lay down; delay",,囚
,2595,手 64.9,2679,2536,2922,"0,001510%",6,7–9,12,搅,jiǎo,jiao,third,"disturb, agitate, stir up",,栗
,2596,手 64.9,2795,2535,2512,"0,001298%",6,7–9,12,搂,lǒu,lou,third,"hug, embrace; drag, pull",,辜
