,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,53,丿 4.4,1399,0147,16010,"0,008274%",5,5,4,乏,fá,fa,second,lack; poor,,行
,54,丿 4.4,2914,0266,2131,"0,001101%",,,5,乍,zhà,zha,fourth,"first time, for the first time",,所
,55,丿 4.5,3447,0456,1086,"0,000561%",4,7–9,6,乒,pīng,ping,first,used with pong for ping pong,,然
,56,丿 4.5,3502,0457,1032,"0,000533%",4,7–9,6,乓,pāng,pang,first,used with ping for ping pong,,家
,57,丿 4.7,2470,1128,3828,"0,001978%",5,7–9,8,乖,guāi,guai,first,"rebel; crafty, shrewd",,种
,58,丿 4.9,1231,1941,20731,"0,010713%",4,5,10,乘,chéng,cheng,second,"ride, ascend; avail oneself of; numerary adjunct for vehicles",,事
,59,乙 5.0,1872,0002,8313,"0,004296%",5,5,1,乙,yǐ,yi,third,second; 2nd heavenly stem,,成
,60,乙 5.1,445,0015,94580,"0,048878%",1,1,2,九,jiǔ,jiu,third,nine,,方
,61,乙 5.1,5265,3502,142,"0,000073%",,,2,乜,miē,mie,first,to squint; (Cant.) what? huh?,,多
,62,乙 5.10,1999,2215,7057,"0,003647%",,,11,乾,gān,gan,first,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)",,经
,63,乙 5.2,31,0066,710259,"0,367051%",2,1,3,也,yě,ye,third,also; classical final particle of strong affirmation or identity,,么
,64,乙 5.2,347,0069,122290,"0,063198%",1,1,3,飞,fēi,fei,first,fly; go quickly; dart; high,,去
,65,乙 5.2,669,0065,58408,"0,030184%",4,3,3,卫,wèi,wei,fourth,"guard, protect, defend",,法
,66,乙 5.2,2429,0042,4073,"0,002105%",6,7–9,3,乞,qǐ,qi,third,beg; request,,学
,67,乙 5.5,4609,3590,283,"0,000146%",,,6,乩,jī,ji,first,to divine,,如
,68,乙 5.5,0,3637,,"0,000000%",,,6,厾,dū,du,first,lightly tap; through away; drop; sentence final particle,,都
,69,乙 5.6,765,0762,47474,"0,024534%",4,3,7,乱,luàn,luan,fourth,"confusion, state of chaos, revolt",,同
,70,乙 5.7,1831,1175,8701,"0,004497%",6,6,8,乳,rǔ,ru,third,"breast, nipples; milk, suckle",,现
,71,亅 6.1,5,0017,2128528,"1,099992%",1,1,2,了,le,le,neutral,to finish; particle of completed action,,当
,72,亅 6.3,925,0184,35757,"0,018479%",6,6,4,予,yǔ,yu,third,"I, me; to give",,没
,73,亅 6.5,344,0508,124420,"0,064298%",4,3,6,争,zhēng,zheng,first,"dispute, fight, contend, strive",,动
,74,亅 6.7,58,1038,499172,"0,257965%",2,1,8,事,shì,shi,fourth,"affair, matter, business; to serve; accident, incident",,面
,75,二 7.0,157,0003,267506,"0,138243%",1,1,2,二,èr,er,fourth,two; twice,,起
,76,二 7.1,40,0024,630524,"0,325845%",3,2,3,于,yú,yu,second,"in, on, at; go to; surname",,看
,77,二 7.1,1738,0025,9884,"0,005108%",5,5,3,亏,kuī,kui,first,"lose, fail; damage; deficient",,定
,78,二 7.1,0,6501,,"0,000000%",,,3,亍,chù,chu,fourth,to take small steps; Korean place name,,天
,79,二 7.2,279,0088,154316,"0,079748%",1,1,4,五,wǔ,wu,third,five; surname,,分
,80,二 7.2,692,0082,54510,"0,028170%",4,2,4,云,yún,yun,second,"say, speak; clouds",,还
,81,二 7.2,819,0106,42579,"0,022004%",4,3,4,互,hù,hu,fourth,"mutually, reciprocally",,进
,82,二 7.2,1431,0077,15158,"0,007833%",6,6,4,井,jǐng,jing,third,"well, mine shaft, pit",,好
,83,二 7.2,5651,3508,97,"0,000050%",,,4,亓,qí,qi,second,"(archaic form) his, her, its, their; that",,小
,84,二 7.4,3874,3585,648,"0,000335%",,,6,亘,gèn,gen,fourth,"extend across, through; from",,部
,85,二 7.5,86,1069,400528,"0,206987%",1,1,8,些,xiē,xie,first,"little, few; rather, somewhat",,其
,86,二 7.6,3619,4062,893,"0,000461%",,,8,亟,jí,ji,second,"urgently, immediately, extremely",,些
,87,亠 8.1,957,0054,33917,"0,017528%",6,6,3,亡,wáng,wang,second,"death, destroyed; lose, perish",,主
,88,亠 8.10,3495,5250,1042,"0,000538%",,,12,亵,xiè,xie,fourth,"slight, insult, treat with disrespect",,样
,89,亠 8.11,0,5539,,"0,000000%",,,13,亶,dǎn,dan,third,"sincere; real, true; truth",,理
,90,亠 8.15,1836,3427,8657,"0,004474%",4,3,17,赢,yíng,ying,second,"win; surplus, gain, profit",,心
,91,亠 8.19,0,8097,,"0,000000%",,,22,亹,mén,men,second,"progress; busy, untiring; exert",,她
,92,亠 8.2,3268,0162,1367,"0,000706%",,,4,亢,kàng,kang,fourth,"high, proud; violent, excessive; skilled; name",,本
,93,亠 8.4,320,0519,135727,"0,070142%",4,2,6,交,jiāo,jiao,first,"mix; intersect; exchange, communicate; deliver",,前
,94,亠 8.4,886,0516,37960,"0,019617%",6,7–9,6,亦,yì,yi,fourth,"also, too; likewise",,开
,95,亠 8.4,3179,0524,1528,"0,000790%",,,6,亥,hài,hai,fourth,12th terrestrial branch,,但
,96,亠 8.5,2146,3755,5845,"0,003021%",,,7,亨,hēng,heng,first,"smoothly, progressing, no trouble",,因
,97,亠 8.5,2360,0829,4439,"0,002294%",,7–9,7,亩,mǔ,mu,third,Chinese land measure; fields,,只
,98,亠 8.6,566,1205,71245,"0,036818%",1,1,8,京,jīng,jing,first,capital city,,从
,99,亠 8.6,1227,1206,20830,"0,010765%",5,5,8,享,xiǎng,xiang,third,enjoy,,想
,100,亠 8.7,840,1621,41016,"0,021196%",1,2,9,亮,liàng,liang,fourth,"bright, brilliant, radiant, light",,实
,101,亠 8.7,2002,1620,7041,"0,003639%",6,7–9,9,亭,tíng,ting,second,pavilion; erect,,日
,102,亠 8.8,5679,4613,94,"0,000049%",,,10,亳,bó,bo,second,name of district in Anhui; capital of Yin,,军
,103,亠 8.9,0,7219,,"0,000000%",,,11,𠅤,xí,xi,second,surname,,者
,104,人 9.0,7,0010,1867999,"0,965354%",1,1,2,人,rén,ren,second,man; people; mankind; someone else,,意
,105,人 9.1,1057,0044,27897,"0,014417%",5,2,3,亿,yì,yi,fourth,hundred million; many,,无
,106,人 9.10,1526,2697,13408,"0,006929%",6,6,12,储,chǔ,chu,third,"save money, store, reserve; heir",,力
,107,人 9.10,1887,2691,8256,"0,004267%",4,5,12,傅,fù,fu,fourth,"tutor, teacher; assist; surname",,它
,108,人 9.10,2558,2696,3444,"0,001780%",5,6,12,傍,bàng,bang,fourth,"by side of, beside, near, close",,与
,109,人 9.10,3777,5215,736,"0,000380%",,,12,傩,nuó,nuo,second,rich,,长
,110,人 9.10,3836,5208,672,"0,000347%",,,12,傣,dǎi,dai,third,the Dai minority living in South China,,把
,111,人 9.10,3946,4908,606,"0,000313%",,,11,傀,guī,gui,first,"great, gigantic; puppet",,机
,112,人 9.10,4829,5212,216,"0,000112%",,,12,傥,tǎng,tang,third,"if, supposing, in case",,十
,113,人 9.10,5289,5209,139,"0,000072%",,,12,傈,lì,li,fourth,tribe,,民
,114,人 9.10,5738,5213,86,"0,000044%",,,12,傧,bīn,bin,first,entertain guests,,第
,115,人 9.10,0,7392,,"0,000000%",,,12,傃,sù,su,fourth,,,公
,116,人 9.10,0,7393,,"0,000000%",,,12,傉,nù,nu,fourth,,,此
,117,人 9.10,0,7395,,"0,000000%",,,12,傒,xī,xi,first,personal name; servant,,已
,118,人 9.10,0,7396,,"0,000000%",,,12,傕,jué,jue,second,used in old names,,工
